"Txn Hash","UnixTimestamp","Date Time (UTC)","Action","Amount (Out)","Token (Out)","Amount (In)","Token (In)","Swapped Rate","Swapped Pair","DEX"
"0x84b1e31caea46a72630dec75644cc36a7161d2e2b83a4e3b1e51ba00b850a0cd","1614188264",2021-02-24 17:37:44,Buy,2736.42834011801, DAI, 547.285668023602, HOPR,5.00000000,DAI per HOPR,Unknown
"0xaa0cc2b9979b33934bce1d2a345f70bf8d12d1e5d60948a25bb39e458a8f10d7","1614192287",2021-02-24 18:44:47,Buy,1085, DAI, 217, HOPR,5.00000000,DAI per HOPR,Unknown
"0xcbe0075f00db701cda390ea0941a86c0c95c5029d47ef40d484d552bf1fe88f4","1614192599",2021-02-24 18:49:59,Buy,2435, DAI, 487, HOPR,5.00000000,DAI per HOPR,Unknown
"0x5d3aa3d756c8b3bddca620139e3e05645c4b670433f15c7f33854c91c5b14cb0","1614192725",2021-02-24 18:52:05,Buy,6810.64497978445, DAI, 1362.12899595689, HOPR,5.00000000,DAI per HOPR,Unknown
"0xd4ebefd290811ac663f4f1a1e2ab74dbe3b12c4e6d51f95bbe273db95858a1c8","1614192875",2021-02-24 18:54:35,Buy,19399.9444774057, DAI, 3879.98889548114, HOPR,5.00000000,DAI per HOPR,Unknown
"0x89fa6b82d5108e437085efacc20bba30bc3859a369cc7746713e3ccc7f1d9c25","1614193155",2021-02-24 18:59:15,Buy,17532.9822026918, DAI, 3506.59644053837, HOPR,5.00000000,DAI per HOPR,Unknown
"0x89fa6b82d5108e437085efacc20bba30bc3859a369cc7746713e3ccc7f1d9c25","1614193155",2021-02-24 18:59:15,Buy,6.21876499605979, DAI, 8.8839498141693, HOPR,0.70000001,DAI per HOPR,Unknown
"0x8f2b62d6cdcd7745a1c915dc5538f811962b547d14ea79c9702597bbba53bb38","1614273401",2021-02-25 17:16:41,Buy,5000, USDC, 3378.3783, HOPR,1.48000003,USDC per HOPR,Unknown
"0x8f2b62d6cdcd7745a1c915dc5538f811962b547d14ea79c9702597bbba53bb38","1614273401",2021-02-25 17:16:41,Buy,482.268282, USDC, 370.975597643438, HOPR,1.30000001,USDC per HOPR,Unknown
"0x48bb2a10487ec3ec91e6ebafa4e8e7df5ff78acbfd48ae4b8e6a7391736d88dd","1614285304",2021-02-25 20:35:04,Buy,3094.91298, USDC, 2380.70226405649, HOPR,1.30000002,USDC per HOPR,Unknown
"0xc4b8c028433dda499c34c14fc839d8237d86e92c7f44aeb704abd66e3367ba32","1614285421",2021-02-25 20:37:01,Buy,640.610659, USDC, 492.777424577805, HOPR,1.30000001,USDC per HOPR,Unknown
"0xcdbe67a4852b87e9add77f99acc5f429dbc344dd8faf0e27e52ee863ab69b0a9","1614349217",2021-02-26 14:20:17,Buy,4803.878314, USDC, 5004.03987934434, HOPR,0.96000001,USDC per HOPR,Unknown
"0x4a8cbab36523305bdb88a9e10211c0fb8080c61477a02ece16697d9030a60ccf","1614377456",2021-02-26 22:10:56,Buy,951.369638, USDC, 1057.07736581363, HOPR,0.90000001,USDC per HOPR,Unknown
"0x6e232f66eda29487600c6871a2ec38a69d39fdfefe06fdd177dd225352cf1d4d","1614390000",2021-02-27 01:40:00,Buy,4048.630361, USDC, 4498.47813418637, HOPR,0.90000001,USDC per HOPR,Unknown
"0x6e232f66eda29487600c6871a2ec38a69d39fdfefe06fdd177dd225352cf1d4d","1614390000",2021-02-27 01:40:00,Buy,193.460992, USDC, 201.521865813632, HOPR,0.96000000,USDC per HOPR,Unknown
"0xf5e6a66f773b9cb9414e30573ceb7f84bcd07ac85add7231ba2e1b6b50d21e90","1614436882",2021-02-27 14:41:22,Buy,1, ETH, 2439.33160295863, HOPR,0.00040995,ETH per HOPR,Uniswap v2
"0x4acfa19b57f286bf22008f049125a12e09e4533fca144de9bf3617e9e531af49","1614436929",2021-02-27 14:42:09,Buy,1.70212069114393, ETH, 3840.95258497913, HOPR,0.00044315,ETH per HOPR,Uniswap v2
"0x92fbd0e925a9a553ae44de7a28f8f6f46afd99ed271049c5bfa7f7885db36902","1614436929",2021-02-27 14:42:09,Buy,1.6, ETH, 3293.86504052795, HOPR,0.00048575,ETH per HOPR,Uniswap v2
